"","V1"
"1","Comunidades y Ciudades Autónomas;Periodo año mes;Total Nacimientos"
"532","08 Castilla - La Mancha;1976M10;2.135"
"533","08 Castilla - La Mancha;1976M09;2.235"
"534","08 Castilla - La Mancha;1976M08;2.226"
"535","08 Castilla - La Mancha;1976M07;2.166"
"536","08 Castilla - La Mancha;1976M06;2.431"
"537","08 Castilla - La Mancha;1976M05;2.523"
"538","08 Castilla - La Mancha;1976M04;2.270"
"539","08 Castilla - La Mancha;1976M03;2.149"
"540","08 Castilla - La Mancha;1976M02;2.042"
"541","08 Castilla - La Mancha;1976M01;2.151"
"542","08 Castilla - La Mancha;1975M12;1.903"
"543","08 Castilla - La Mancha;1975M11;1.899"
"544","08 Castilla - La Mancha;1975M10;2.073"
"545","08 Castilla - La Mancha;1975M09;2.104"
"546","08 Castilla - La Mancha;1975M08;2.203"
"547","08 Castilla - La Mancha;1975M07;2.354"
"548","08 Castilla - La Mancha;1975M06;2.368"
"549","08 Castilla - La Mancha;1975M05;2.452"
"550","08 Castilla - La Mancha;1975M04;2.264"
"551","08 Castilla - La Mancha;1975M03;2.193"
"552","08 Castilla - La Mancha;1975M02;1.925"
"553","08 Castilla - La Mancha;1975M01;2.032"
