"","V1"
"1","Comunidades y Ciudades Autónomas;Periodo año mes;Total Nacimientos"
"123","08 Castilla - La Mancha;2010M11;1.877"
"124","08 Castilla - La Mancha;2010M10;1.876"
"125","08 Castilla - La Mancha;2010M09;1.976"
"126","08 Castilla - La Mancha;2010M08;1.920"
"127","08 Castilla - La Mancha;2010M07;1.911"
"128","08 Castilla - La Mancha;2010M06;1.730"
"129","08 Castilla - La Mancha;2010M05;1.823"
"130","08 Castilla - La Mancha;2010M04;1.776"
"131","08 Castilla - La Mancha;2010M03;1.841"
"132","08 Castilla - La Mancha;2010M02;1.634"
"133","08 Castilla - La Mancha;2010M01;1.774"
"134","08 Castilla - La Mancha;2009M12;1.871"
"135","08 Castilla - La Mancha;2009M11;1.814"
"136","08 Castilla - La Mancha;2009M10;1.903"
"137","08 Castilla - La Mancha;2009M09;1.871"
"138","08 Castilla - La Mancha;2009M08;1.923"
"139","08 Castilla - La Mancha;2009M07;1.907"
"140","08 Castilla - La Mancha;2009M06;1.905"
"141","08 Castilla - La Mancha;2009M05;1.874"
"142","08 Castilla - La Mancha;2009M04;1.813"
"143","08 Castilla - La Mancha;2009M03;1.930"
"144","08 Castilla - La Mancha;2009M02;1.677"
"145","08 Castilla - La Mancha;2009M01;1.834"
"146","08 Castilla - La Mancha;2008M12;1.741"
"147","08 Castilla - La Mancha;2008M11;1.889"
"148","08 Castilla - La Mancha;2008M10;1.954"
"149","08 Castilla - La Mancha;2008M09;2.044"
"150","08 Castilla - La Mancha;2008M08;1.956"
"151","08 Castilla - La Mancha;2008M07;1.998"
"152","08 Castilla - La Mancha;2008M06;1.940"
"153","08 Castilla - La Mancha;2008M05;2.006"
"154","08 Castilla - La Mancha;2008M04;1.989"
"155","08 Castilla - La Mancha;2008M03;1.856"
"156","08 Castilla - La Mancha;2008M02;1.726"
"157","08 Castilla - La Mancha;2008M01;1.939"
"158","08 Castilla - La Mancha;2007M12;1.445"
"159","08 Castilla - La Mancha;2007M11;1.574"
"160","08 Castilla - La Mancha;2007M10;1.865"
"161","08 Castilla - La Mancha;2007M09;1.937"
"162","08 Castilla - La Mancha;2007M08;1.816"
"163","08 Castilla - La Mancha;2007M07;1.946"
"164","08 Castilla - La Mancha;2007M06;1.796"
"165","08 Castilla - La Mancha;2007M05;1.799"
"166","08 Castilla - La Mancha;2007M04;1.661"
"167","08 Castilla - La Mancha;2007M03;1.835"
"168","08 Castilla - La Mancha;2007M02;1.499"
"169","08 Castilla - La Mancha;2007M01;1.702"
"170","08 Castilla - La Mancha;2006M12;1.684"
"171","08 Castilla - La Mancha;2006M11;1.722"
"172","08 Castilla - La Mancha;2006M10;1.763"
"173","08 Castilla - La Mancha;2006M09;1.774"
"174","08 Castilla - La Mancha;2006M08;1.798"
"175","08 Castilla - La Mancha;2006M07;1.694"
"176","08 Castilla - La Mancha;2006M06;1.672"
"177","08 Castilla - La Mancha;2006M05;1.753"
"178","08 Castilla - La Mancha;2006M04;1.652"
"179","08 Castilla - La Mancha;2006M03;1.690"
"180","08 Castilla - La Mancha;2006M02;1.529"
"181","08 Castilla - La Mancha;2006M01;1.658"
"182","08 Castilla - La Mancha;2005M12;1.601"
"183","08 Castilla - La Mancha;2005M11;1.519"
"184","08 Castilla - La Mancha;2005M10;1.586"
"185","08 Castilla - La Mancha;2005M09;1.658"
"186","08 Castilla - La Mancha;2005M08;1.679"
"187","08 Castilla - La Mancha;2005M07;1.681"
"188","08 Castilla - La Mancha;2005M06;1.563"
"189","08 Castilla - La Mancha;2005M05;1.681"
"190","08 Castilla - La Mancha;2005M04;1.510"
"191","08 Castilla - La Mancha;2005M03;1.587"
"192","08 Castilla - La Mancha;2005M02;1.425"
"193","08 Castilla - La Mancha;2005M01;1.517"
"194","08 Castilla - La Mancha;2004M12;1.500"
"195","08 Castilla - La Mancha;2004M11;1.494"
"196","08 Castilla - La Mancha;2004M10;1.649"
"197","08 Castilla - La Mancha;2004M09;1.629"
"198","08 Castilla - La Mancha;2004M08;1.567"
"199","08 Castilla - La Mancha;2004M07;1.642"
"200","08 Castilla - La Mancha;2004M06;1.542"
"201","08 Castilla - La Mancha;2004M05;1.585"
"202","08 Castilla - La Mancha;2004M04;1.554"
"203","08 Castilla - La Mancha;2004M03;1.525"
"204","08 Castilla - La Mancha;2004M02;1.391"
"205","08 Castilla - La Mancha;2004M01;1.429"
"206","08 Castilla - La Mancha;2003M12;1.433"
"207","08 Castilla - La Mancha;2003M11;1.470"
"208","08 Castilla - La Mancha;2003M10;1.509"
"209","08 Castilla - La Mancha;2003M09;1.576"
"210","08 Castilla - La Mancha;2003M08;1.587"
"211","08 Castilla - La Mancha;2003M07;1.565"
"212","08 Castilla - La Mancha;2003M06;1.496"
"213","08 Castilla - La Mancha;2003M05;1.540"
"214","08 Castilla - La Mancha;2003M04;1.567"
"215","08 Castilla - La Mancha;2003M03;1.500"
"216","08 Castilla - La Mancha;2003M02;1.331"
"217","08 Castilla - La Mancha;2003M01;1.477"
"218","08 Castilla - La Mancha;2002M12;1.425"
"219","08 Castilla - La Mancha;2002M11;1.401"
"220","08 Castilla - La Mancha;2002M10;1.427"
"221","08 Castilla - La Mancha;2002M09;1.505"
"222","08 Castilla - La Mancha;2002M08;1.477"
"223","08 Castilla - La Mancha;2002M07;1.526"
"224","08 Castilla - La Mancha;2002M06;1.352"
"225","08 Castilla - La Mancha;2002M05;1.500"
"226","08 Castilla - La Mancha;2002M04;1.469"
"227","08 Castilla - La Mancha;2002M03;1.351"
"228","08 Castilla - La Mancha;2002M02;1.304"
"229","08 Castilla - La Mancha;2002M01;1.380"
"230","08 Castilla - La Mancha;2001M12;1.381"
"231","08 Castilla - La Mancha;2001M11;1.348"
"232","08 Castilla - La Mancha;2001M10;1.503"
"233","08 Castilla - La Mancha;2001M09;1.442"
"234","08 Castilla - La Mancha;2001M08;1.478"
"235","08 Castilla - La Mancha;2001M07;1.474"
"236","08 Castilla - La Mancha;2001M06;1.358"
"237","08 Castilla - La Mancha;2001M05;1.496"
"238","08 Castilla - La Mancha;2001M04;1.374"
"239","08 Castilla - La Mancha;2001M03;1.376"
"240","08 Castilla - La Mancha;2001M02;1.223"
"241","08 Castilla - La Mancha;2001M01;1.343"
"242","08 Castilla - La Mancha;2000M12;1.400"
"243","08 Castilla - La Mancha;2000M11;1.323"
"244","08 Castilla - La Mancha;2000M10;1.425"
"245","08 Castilla - La Mancha;2000M09;1.425"
"246","08 Castilla - La Mancha;2000M08;1.498"
"247","08 Castilla - La Mancha;2000M07;1.440"
"248","08 Castilla - La Mancha;2000M06;1.329"
"249","08 Castilla - La Mancha;2000M05;1.508"
"250","08 Castilla - La Mancha;2000M04;1.409"
"251","08 Castilla - La Mancha;2000M03;1.452"
"252","08 Castilla - La Mancha;2000M02;1.219"
"253","08 Castilla - La Mancha;2000M01;1.295"
"254","08 Castilla - La Mancha;1999M12;1.375"
"255","08 Castilla - La Mancha;1999M11;1.311"
"256","08 Castilla - La Mancha;1999M10;1.431"
"257","08 Castilla - La Mancha;1999M09;1.453"
"258","08 Castilla - La Mancha;1999M08;1.431"
"259","08 Castilla - La Mancha;1999M07;1.558"
"260","08 Castilla - La Mancha;1999M06;1.380"
"261","08 Castilla - La Mancha;1999M05;1.384"
"262","08 Castilla - La Mancha;1999M04;1.398"
"263","08 Castilla - La Mancha;1999M03;1.410"
"264","08 Castilla - La Mancha;1999M02;1.302"
"265","08 Castilla - La Mancha;1999M01;1.323"
"266","08 Castilla - La Mancha;1998M12;1.398"
"267","08 Castilla - La Mancha;1998M11;1.268"
"268","08 Castilla - La Mancha;1998M10;1.342"
"269","08 Castilla - La Mancha;1998M09;1.360"
"270","08 Castilla - La Mancha;1998M08;1.323"
"271","08 Castilla - La Mancha;1998M07;1.441"
"272","08 Castilla - La Mancha;1998M06;1.333"
"273","08 Castilla - La Mancha;1998M05;1.423"
"274","08 Castilla - La Mancha;1998M04;1.467"
"275","08 Castilla - La Mancha;1998M03;1.391"
"276","08 Castilla - La Mancha;1998M02;1.222"
"277","08 Castilla - La Mancha;1998M01;1.336"
"278","08 Castilla - La Mancha;1997M12;1.343"
"279","08 Castilla - La Mancha;1997M11;1.308"
"280","08 Castilla - La Mancha;1997M10;1.369"
"281","08 Castilla - La Mancha;1997M09;1.387"
"282","08 Castilla - La Mancha;1997M08;1.374"
"283","08 Castilla - La Mancha;1997M07;1.533"
"284","08 Castilla - La Mancha;1997M06;1.364"
"285","08 Castilla - La Mancha;1997M05;1.510"
"286","08 Castilla - La Mancha;1997M04;1.447"
"287","08 Castilla - La Mancha;1997M03;1.433"
"288","08 Castilla - La Mancha;1997M02;1.323"
"289","08 Castilla - La Mancha;1997M01;1.382"
"290","08 Castilla - La Mancha;1996M12;1.383"
"291","08 Castilla - La Mancha;1996M11;1.352"
"292","08 Castilla - La Mancha;1996M10;1.372"
"293","08 Castilla - La Mancha;1996M09;1.366"
"294","08 Castilla - La Mancha;1996M08;1.487"
"295","08 Castilla - La Mancha;1996M07;1.412"
"296","08 Castilla - La Mancha;1996M06;1.376"
"297","08 Castilla - La Mancha;1996M05;1.472"
"298","08 Castilla - La Mancha;1996M04;1.442"
"299","08 Castilla - La Mancha;1996M03;1.408"
"300","08 Castilla - La Mancha;1996M02;1.224"
"301","08 Castilla - La Mancha;1996M01;1.452"
"302","08 Castilla - La Mancha;1995M12;1.389"
"303","08 Castilla - La Mancha;1995M11;1.298"
